,1st Electrode,2nd Electrode,F+,F-,S+,S-,Real 1,Imaginary 1,Results
89,E10,E13,10,13,13,10,42511.1015625,-11776.4765625,
,R4_C36_C38,R3_C33_C37,,,,,,,
90,E11,E13,11,13,13,11,42511.1015625,-11776.4765625,
,R2_C29_C36,R3_C33_C37,,,,,,,
91,E12,E13,12,13,13,12,11684.2998046875,-32951.3671875,
,R1_C29_C33,R3_C33_C37,,,,,,,
92,E0,E14,0,14,14,0,NaN,NaN,
,R26_C56_C57,R5_C37_C39,,,,,,,
93,E1,E14,1,14,14,1,NaN,NaN,
,R24_C54_C56,R5_C37_C39,,,,,,,
94,E2,E14,2,14,14,2,NaN,NaN,
,R22_C52_C54,R5_C37_C39,,,,,,,
95,E3,E14,3,14,14,3,NaN,NaN,
,R18_C50_C52,R5_C37_C39,,,,,,,
96,E4,E14,4,14,14,4,NaN,NaN,
,R16_C48_C50,R5_C37_C39,,,,,,,
97,E5,E14,5,14,14,5,NaN,NaN,
,R14_C46_C48,R5_C37_C39,,,,,,,
98,E6,E14,6,14,14,6,NaN,NaN,
,R12_C44_C46,R5_C37_C39,,,,,,,
99,E7,E14,7,14,14,7,NaN,NaN,
,R10_C42_C44,R5_C37_C39,,,,,,,
100,E8,E14,8,14,14,8,NaN,NaN,
,R8_C40_C42,R5_C37_C39,,,,,,,
101,E9,E14,9,14,14,9,NaN,NaN,
,R9_C38_C40,R5_C37_C39,,,,,,,
102,E10,E14,10,14,14,10,NaN,NaN,
,R4_C36_C38,R5_C37_C39,,,,,,,
103,E11,E14,11,14,14,11,NaN,NaN,
,R2_C29_C36,R5_C37_C39,,,,,,,
104,E12,E14,12,14,14,12,NaN,NaN,
,R1_C29_C33,R5_C37_C39,,,,,,,
105,E13,E14,13,14,14,13,NaN,NaN,
,R3_C33_C37,R5_C37_C39,,,,,,,
106,E0,E15,0,15,15,0,NaN,NaN,
,R26_C56_C57,R7_C39_C41,,,,,,,
107,E1,E15,1,15,15,1,NaN,NaN,
,R24_C54_C56,R7_C39_C41,,,,,,,
108,E2,E15,2,15,15,2,NaN,NaN,
,R22_C52_C54,R7_C39_C41,,,,,,,
109,E3,E15,3,15,15,3,NaN,NaN,
,R18_C50_C52,R7_C39_C41,,,,,,,
110,E4,E15,4,15,15,4,NaN,NaN,
,R16_C48_C50,R7_C39_C41,,,,,,,
111,E5,E15,5,15,15,5,NaN,NaN,
,R14_C46_C48,R7_C39_C41,,,,,,,
